# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
CLMB,COLUMBINE (CLMB),770,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
CLRE,CLARE SMALL ARTS & SCIENCES (CLRE),43373,1,40.010486,-105.2700755,,1725 PLEASANT ST BOULDER CO 80309
CLUB,UNIVERSITY CLUB (CLUB),28197,1,40.0053829,-105.2706298,,972 BROADWAY BOULDER CO 80309
COMP,COMPUTING CENTER (COMP),28880,1,40.0140397,-105.2472071,,3645 MARINE ST BOULDER CO 80303
COTT,GATES WOODRUFF WOMEN'S STUDIES COTTAGE (COTT),5229,1,40.0081606,-105.274829,,1160 BROADWAY BOULDER CO 80309
COYO,COYOTE (COYO),127,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
CPMP,COLORADO POND PUMP STATION (CPMP),478,1,40.00780413486885,-105.25973081588747,,2700 COLORADO AVE BOULDER CO 80309
CROS,CROSMAN HALL (CROS),25936,1,40.0063409,-105.2647723,,1015 COCKERELL DR BOULDER CO 80309
DACR,CU CHILDREN'S CENTER (DACR),4129,1,40.0142189,-105.2660289,8,2202 ARAPAHOE AVE BOULDER CO 80309
DACRA,CU CHILDREN'S CENTER (DACRA),2360,1,40.0142189,-105.2660289,,2202 ARAPAHOE AVE BOULDER CO 80309
DACRB,CU CHILDREN'S CENTER (DACRB),189,1,40.0142189,-105.2660289,,2202 ARAPAHOE AVE BOULDER CO 80309
DALW,DAL WARD ATHLETIC CENTER (DALW),100749,5,40.010368,-105.2669201,,2100 STADIUM DR BOULDER CO 80309
DDW,DUANE D-WING (DDW),31997,3,40.0079459,-105.2683827,,1950 COLORADO AVE BOULDER CO 80309
DEN,DENISON ARTS & SCIENCES BUILDING (DEN),5471,1,40.0069374,-105.2734005,,1080 BROADWAY BOULDER CO 80309
DHLL,DINING HALL (DHLL),2452,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
DLC,GALLOGLY DISCOVERY LEARNING CENTER (DLC),59745,1,40.0075536,-105.2617944,,1095 REGENT DR BOULDER CO 80309
DRLN,DARLEY TOWERS NORTH (DRLN),72423,1,39.9982347,-105.2522794,,500 30TH ST BOULDER CO 80309
DRLS,DARLEY TOWERS SOUTH (DRLS),50541,1,39.998011804023236,-105.25241911411287,,500 30TH ST BOULDER CO 80309
DUAN,DUANE PHYSICS (DUAN),195233,2,40.0079224,-105.2675434,,2000 COLORADO AVE BOULDER CO 80309
ECAD,ENGINEERING ADMINISTRATION WING (ECAD),18817,3,40.00726381068216,-105.26282608509065,,1111 ENGINEERING DR BOULDER CO 80309
ECCE,ENGINEERING CIVIL & ENVIRONMENTAL WING (ECCE),71932,3,40.006920712875925,-105.26264905929567,,1111 ENGINEERING DR BOULDER CO 80309
ECCR,ENGINEERING CLASSROOM WING (ECCR),63929,3,40.006877568718366,-105.2635368704796,,1111 ENGINEERING DR BOULDER CO 80309
ECCS,ENGINEERING COMPUTER SCIENCE DEPT (ECCS),36859,3,40.00659815827589,-105.26372462511064,,1111 ENGINEERING DR BOULDER CO 80309
ECEE,ENGINEERING ELECTRICAL WING (ECEE),112348,3,40.00758430767395,-105.26264101266862,,1111 ENGINEERING DR BOULDER CO 80309
ECES,ENVIRONMENTAL SUSTAINABILITY WING (ECES),51836,3,40.00693303977308,-105.26275098323822,,1111 ENGINEERING DR BOULDER CO 80309
ECGBA,EAST CAMPUS GROUNDS BUILDING A (ECGBA),294,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
ECGBB,EAST CAMPUS GROUNDS BUILDING B (ECGBB),483,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
