# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
WVN,WILLIAMS VILLAGE NORTH (WVN),145874,1,39.9988403,-105.2503094,,3300 BASELINE RD BOULDER CO 80309
WVPH,WILLIAMS VILLAGE PUMPHOUSE (WVPH),456,1,39.999006079625715,-105.2482804656029,,3502 BASELINE RD BOULDER CO 80309
WVRC,WILLIAMS VILLAGE RECREATION CENTER (WVRC),11038,1,39.99817216357155,-105.2514374256134,,3225 APACHE DR BOULDER CO 80309
WVSTO,WILLIAMS VILLAGE GROUNDS STORAGE (WVSTO),896,1,40.0000856,-105.2740921,,3180 BASELINE RD BOULDER CO 80309
XDCB,XD CABIN (XDCB),831,3,40.0114574,-105.2756057,,1336 GRANDVIEW AVENUE BOULDER CO 80309
ZUNI,ZUNI (ZUNI),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
,,0,0,40.0069373,-105.2663866,,"University of Colorado Boulder Campus, Boulder, CO 80309 ()"

# CUSTOM_TRAVEL_TIMES
fromCode,toCode,time,method,useStraightLine
